% Model:              first comsol file.mph
% Version:            COMSOL 6.2.0.415
% Date:               Oct 8 2024, 12:10
% Dimension:          1
% Nodes:              136
% Expressions:        1
% Description:        Line graph
% x-coordinate (nm)       Dependent variable phi
0                         0
0.29629629629629617       -0.006354393436866247
0.5925925925925923        -0.012708786873732494
0.8888888888888884        -0.019063180310598747
1.1851851851851847        -0.025417573747464995
1.4814814814814807        -0.03177196718433125
1.7777777777777768        -0.038126360621197494
2.0740740740740735        -0.044480754058063746
2.3703703703703694        -0.05083514749493
2.6666666666666656        -0.057189540931796255
2.9629629629629615        -0.0635439343686625
3.2592592592592577        -0.06989832780552876
3.5555555555555536        -0.07625272124239502
3.8518518518518494        -0.08260711467926127
4.148148148148146         -0.08896150811612753
4.444444444444442         -0.0953159015529938
4.740740740740739         -0.10167029498986005
5.037037037037034         -0.10802468842672633
5.33333333333333          -0.1143790818635926
5.629629629629626         -0.12073347530045885
5.925925925925923         -0.1270878687373251
6.222222222222219         -0.13344226217419142
6.518518518518515         -0.1397966556110577
6.814814814814811         -0.14615104904792395
7.111111111111107         -0.1525054424847902
7.407407407407404         -0.15885983592165648
7.703703703703701         -0.16521422935852276
7.9999999999999964        -0.17156862279538904
8.296296296296292         -0.17853448760331014
8.592592592592588         -0.18523558601802848
8.888888888888886         -0.1916719180395441
9.185185185185182         -0.19784348366785695
9.481481481481477         -0.20375028290296707
9.777777777777773         -0.2093923157448744
10.07407407407407         -0.21476958219357906
10.370370370370367        -0.21988208224908096
10.666666666666663        -0.22472981591138005
10.962962962962957        -0.22631841427059687
11.259259259259254        -0.22631841427059723
11.55555555555555         -0.2247298159113811
11.851851851851846        -0.2215526191929485
12.148148148148143        -0.21678682411529943
12.444444444444438        -0.21043243067843387
12.740740740740735        -0.20248943888235188
13.03703703703703         -0.1929578487270534
13.333333333333327        -0.18183766021253844
13.62962962962962         -0.16912887333880705
13.92592592592592         -0.1548314881058592
14.222222222222214        -0.13894550451369486
14.51851851851851         -0.12147092256231407
14.814814814814804        -0.10240774225171678
15.111111111111102        -0.08175596358190305
15.407407407407398        -0.05951558655287284
15.703703703703692        -0.035686611164626215
15.99999999999999         -0.01026903741716305
16.296296296296283        0.016737134689516608
16.592592592592585        0.045331905155412744
16.88888888888888         0.07551527398052536
17.185185185185173        0.10728724116485443
17.48148148148147         0.1406478067084
17.777777777777768        0.17559697061116197
18.074074074074062        0.2121347328731405
18.37037037037036         0.25026109349433545
18.666666666666657        0.2899760524747469
18.962962962962955        0.3325025525564844
19.259259259259245        0.37608811821103294
19.555555555555546        0.4207327494383924
19.85185185185184         0.46643644623856284
20.148148148148135        0.5131992086115443
20.444444444444432        0.5610210365573367
20.74074074074073         0.6099019300759401
21.037037037037024        0.6598418891673544
21.33333333333332         0.7108409138315798
21.629629629629612        0.7569102662488569
21.925925925925913        0.8013910203069178
22.22222222222221         0.844283176005762
22.518518518518505        0.8855867333453897
22.814814814814802        0.9253016923258012
23.111111111111097        0.963428052946996
23.407407407407394        0.9999658152089744
23.70370370370369         1.0349149791117365
23.999999999999986        1.0682755446552819
24.29629629629628         1.100047511839611
24.59259259259258         1.1302308806647234
24.88888888888888         1.1588256511306196
25.185185185185176        1.1858318232372993
25.481481481481474        1.2112493969847626
25.777777777777768        1.2350783723730092
26.074074074074066        1.2573187494020397
26.370370370370363        1.2779705280718536
26.66666666666666         1.297033708382451
26.962962962962955        1.3145082903338317
27.259259259259252        1.3303942739259962
27.55555555555555         1.3446916591589442
27.851851851851844        1.3574004460326754
28.148148148148138        1.3685206345471903
28.444444444444432        1.378052224702489
28.74074074074073         1.385995216498571
29.037037037037027        1.3923496099354367
29.33333333333332         1.3971154050130858
29.62962962962962         1.3986220647876526
29.925925925925917        1.3998639581690167
30.222222222222214        1.4008410851571778
30.5185185185185          1.4015534457521361
30.814814814814802        1.402001039953892
31.111111111111097        1.402183867762445
31.40740740740739         1.4021019291777952
31.70370370370369         1.4017552241999431
31.999999999999986        1.4011437528288877
32.296296296296276        1.4011437528288873
32.59259259259258         1.401143752828887
32.88888888888888         1.4011437528288868
33.185185185185176        1.4011437528288861
33.48148148148147         1.401143752828886
33.777777777777764        1.4011437528288855
34.07407407407406         1.4011437528288853
34.37037037037036         1.4011437528288853
34.66666666666666         1.4011437528288848
34.96296296296295         1.4011437528288844
35.25925925925925         1.4011437528288841
35.55555555555554         1.4011437528288841
35.85185185185184         1.401143752828884
36.14814814814813         1.401143752828884
36.44444444444443         1.4011437528288837
36.74074074074073         1.4011437528288833
37.037037037037024        1.4011437528288835
37.33333333333332         1.4011437528288833
37.62962962962962         1.4011437528288828
37.92592592592592         1.4011437528288826
38.22222222222221         1.4011437528288824
38.518518518518505        1.4011437528288821
38.81481481481481         1.401143752828882
39.11111111111109         1.4011437528288817
39.4074074074074          1.4011437528288817
39.70370370370369         1.4011437528288821
39.99999999999999         1.401143752828882
